
Host: TUF

Timers On : Mon Jul  7 09:47:27 2025
Timers Off: Mon Jul  7 09:47:33 2025

Wall Time:        6.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.283u      0.017s      0.165w     22 calls
HF: Form C                          :      0.033u      0.000s      0.010w     22 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:07:05 2025
Timers Off: Mon Jul  7 10:07:10 2025

Wall Time:        4.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.200u      0.017s      0.129w      3 calls
build grid                          :      0.117u      0.017s      0.074w      3 calls
post-process grid                   :      0.083u      0.000s      0.056w      3 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.020w      3 calls
Libint2ERI::Libint2ERI              :      0.050u      0.033s      0.024w      9 calls
DFH: initialize()                   :      0.067u      0.017s      0.044w      3 calls
DFH: AO Construction                :      0.017u      0.000s      0.009w      3 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      3 calls
HF: Guess                           :      0.117u      0.017s      0.094w      3 calls
SAD Guess                           :      0.117u      0.017s      0.089w      3 calls
HF: Form G                          :      2.433u      0.083s      1.509w     25 calls
RV: Form V                          :      2.417u      0.083s      1.499w     25 calls
Properties                          :      0.400u      0.000s      0.270w  13850 calls
Functional                          :      1.517u      0.067s      0.872w  13850 calls
V_xc                                :      0.433u      0.017s      0.317w  13850 calls
JK: D                               :      0.017u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     25 calls
JK: JK                              :      0.000u      0.000s      0.002w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.002w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.233u      0.017s      0.141w     22 calls
HF: Form C                          :      0.017u      0.000s      0.009w     22 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.200u      0.017s      0.129w      3 calls
| build grid                        :      0.117u      0.017s      0.074w      3 calls
| post-process grid                 :      0.083u      0.000s      0.056w      3 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.020w      3 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.015w      3 calls
DFH: initialize()                   :      0.067u      0.017s      0.044w      3 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.010w      6 calls
| DFH: AO Construction              :      0.017u      0.000s      0.009w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      3 calls
HF: Guess                           :      0.117u      0.017s      0.094w      3 calls
| SAD Guess                         :      0.117u      0.017s      0.089w      3 calls
HF: Form G                          :      2.433u      0.083s      1.509w     25 calls
| RV: Form V                        :      2.417u      0.083s      1.499w     25 calls
| | Properties                      :      0.400u      0.000s      0.270w  13850 calls
| | Functional                      :      1.517u      0.067s      0.872w  13850 calls
| | V_xc                            :      0.433u      0.017s      0.317w  13850 calls
| JK: D                             :      0.017u      0.000s      0.000w     25 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     25 calls
| JK: JK                            :      0.000u      0.000s      0.002w     25 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.002w     25 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     25 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     25 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.233u      0.017s      0.141w     22 calls
HF: Form C                          :      0.017u      0.000s      0.009w     22 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:07:52 2025
Timers Off: Mon Jul  7 10:07:56 2025

Wall Time:        3.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.100u      0.000s      0.079w      2 calls
build grid                          :      0.067u      0.000s      0.048w      2 calls
post-process grid                   :      0.033u      0.000s      0.032w      2 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.015w      2 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.019w      6 calls
DFH: initialize()                   :      0.033u      0.017s      0.026w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.005w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.117u      0.017s      0.077w      2 calls
SAD Guess                           :      0.117u      0.017s      0.073w      2 calls
HF: Form G                          :      1.817u      0.050s      1.126w     17 calls
RV: Form V                          :      1.800u      0.050s      1.118w     17 calls
Properties                          :      0.350u      0.017s      0.201w   9418 calls
Functional                          :      0.967u      0.017s      0.651w   9418 calls
V_xc                                :      0.433u      0.017s      0.235w   9418 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     17 calls
JK: JK                              :      0.000u      0.000s      0.001w     17 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.217u      0.033s      0.115w     15 calls
HF: Form C                          :      0.000u      0.000s      0.007w     15 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.100u      0.000s      0.079w      2 calls
| build grid                        :      0.067u      0.000s      0.048w      2 calls
| post-process grid                 :      0.033u      0.000s      0.032w      2 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.015w      2 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.012w      2 calls
DFH: initialize()                   :      0.033u      0.017s      0.026w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.007w      4 calls
| DFH: AO Construction              :      0.000u      0.000s      0.005w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.117u      0.017s      0.077w      2 calls
| SAD Guess                         :      0.117u      0.017s      0.073w      2 calls
HF: Form G                          :      1.817u      0.050s      1.126w     17 calls
| RV: Form V                        :      1.800u      0.050s      1.118w     17 calls
| | Properties                      :      0.350u      0.017s      0.201w   9418 calls
| | Functional                      :      0.967u      0.017s      0.651w   9418 calls
| | V_xc                            :      0.433u      0.017s      0.235w   9418 calls
| JK: D                             :      0.000u      0.000s      0.000w     17 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     17 calls
| JK: JK                            :      0.000u      0.000s      0.001w     17 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.217u      0.033s      0.115w     15 calls
HF: Form C                          :      0.000u      0.000s      0.007w     15 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:08:37 2025
Timers Off: Mon Jul  7 10:08:41 2025

Wall Time:        3.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.133u      0.017s      0.084w      2 calls
build grid                          :      0.083u      0.017s      0.052w      2 calls
post-process grid                   :      0.050u      0.000s      0.032w      2 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.016w      2 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.021w      6 calls
DFH: initialize()                   :      0.033u      0.000s      0.030w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.005w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.083u      0.033s      0.066w      2 calls
SAD Guess                           :      0.067u      0.033s      0.064w      2 calls
HF: Form G                          :      1.867u      0.050s      1.131w     17 calls
RV: Form V                          :      1.850u      0.050s      1.124w     17 calls
Properties                          :      0.383u      0.017s      0.189w   9418 calls
Functional                          :      1.050u      0.033s      0.687w   9418 calls
V_xc                                :      0.383u      0.000s      0.219w   9418 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     17 calls
JK: JK                              :      0.000u      0.000s      0.002w     17 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.167u      0.017s      0.114w     15 calls
HF: Form C                          :      0.017u      0.000s      0.007w     15 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.133u      0.017s      0.084w      2 calls
| build grid                        :      0.083u      0.017s      0.052w      2 calls
| post-process grid                 :      0.050u      0.000s      0.032w      2 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.016w      2 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.013w      2 calls
DFH: initialize()                   :      0.033u      0.000s      0.030w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.008w      4 calls
| DFH: AO Construction              :      0.000u      0.000s      0.005w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.083u      0.033s      0.066w      2 calls
| SAD Guess                         :      0.067u      0.033s      0.064w      2 calls
HF: Form G                          :      1.867u      0.050s      1.131w     17 calls
| RV: Form V                        :      1.850u      0.050s      1.124w     17 calls
| | Properties                      :      0.383u      0.017s      0.189w   9418 calls
| | Functional                      :      1.050u      0.033s      0.687w   9418 calls
| | V_xc                            :      0.383u      0.000s      0.219w   9418 calls
| JK: D                             :      0.000u      0.000s      0.000w     17 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     17 calls
| JK: JK                            :      0.000u      0.000s      0.002w     17 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.167u      0.017s      0.114w     15 calls
HF: Form C                          :      0.017u      0.000s      0.007w     15 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:10:48 2025
Timers Off: Mon Jul  7 10:10:52 2025

Wall Time:        4.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.167u      0.017s      0.110w      3 calls
build grid                          :      0.100u      0.000s      0.066w      3 calls
post-process grid                   :      0.067u      0.017s      0.044w      3 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.028w      3 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.032w      9 calls
DFH: initialize()                   :      0.083u      0.000s      0.051w      3 calls
DFH: AO Construction                :      0.033u      0.000s      0.008w      3 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.150u      0.033s      0.088w      3 calls
SAD Guess                           :      0.133u      0.033s      0.084w      3 calls
HF: Form G                          :      2.467u      0.083s      1.535w     25 calls
RV: Form V                          :      2.450u      0.083s      1.526w     25 calls
Properties                          :      0.367u      0.017s      0.274w  13850 calls
Functional                          :      1.500u      0.050s      0.889w  13850 calls
V_xc                                :      0.517u      0.000s      0.322w  13850 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     25 calls
JK: JK                              :      0.017u      0.000s      0.002w     25 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.002w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.017u      0.000s      0.002w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.167u      0.017s      0.133w     22 calls
HF: Form C                          :      0.033u      0.000s      0.009w     22 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.167u      0.017s      0.110w      3 calls
| build grid                        :      0.100u      0.000s      0.066w      3 calls
| post-process grid                 :      0.067u      0.017s      0.044w      3 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.028w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.019w      3 calls
DFH: initialize()                   :      0.083u      0.000s      0.051w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.012w      6 calls
| DFH: AO Construction              :      0.033u      0.000s      0.008w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.150u      0.033s      0.088w      3 calls
| SAD Guess                         :      0.133u      0.033s      0.084w      3 calls
HF: Form G                          :      2.467u      0.083s      1.535w     25 calls
| RV: Form V                        :      2.450u      0.083s      1.526w     25 calls
| | Properties                      :      0.367u      0.017s      0.274w  13850 calls
| | Functional                      :      1.500u      0.050s      0.889w  13850 calls
| | V_xc                            :      0.517u      0.000s      0.322w  13850 calls
| JK: D                             :      0.000u      0.000s      0.000w     25 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     25 calls
| JK: JK                            :      0.017u      0.000s      0.002w     25 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.002w     25 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     25 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.002w     25 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.167u      0.017s      0.133w     22 calls
HF: Form C                          :      0.033u      0.000s      0.009w     22 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:11:01 2025
Timers Off: Mon Jul  7 10:11:05 2025

Wall Time:        4.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.217u      0.033s      0.154w      3 calls
build grid                          :      0.133u      0.017s      0.087w      3 calls
post-process grid                   :      0.083u      0.017s      0.067w      3 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.023w      3 calls
Libint2ERI::Libint2ERI              :      0.017u      0.033s      0.030w      9 calls
DFH: initialize()                   :      0.050u      0.017s      0.044w      3 calls
DFH: AO Construction                :      0.017u      0.000s      0.007w      3 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.150u      0.033s      0.111w      3 calls
SAD Guess                           :      0.150u      0.033s      0.106w      3 calls
HF: Form G                          :      2.600u      0.133s      1.588w     25 calls
RV: Form V                          :      2.583u      0.133s      1.576w     25 calls
Properties                          :      0.350u      0.017s      0.287w  13850 calls
Functional                          :      1.633u      0.100s      0.908w  13850 calls
V_xc                                :      0.533u      0.017s      0.338w  13850 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     25 calls
JK: JK                              :      0.000u      0.000s      0.002w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.002w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     25 calls
JK: AO2USO                          :      0.017u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.183u      0.017s      0.135w     22 calls
HF: Form C                          :      0.017u      0.000s      0.009w     22 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.217u      0.033s      0.154w      3 calls
| build grid                        :      0.133u      0.017s      0.087w      3 calls
| post-process grid                 :      0.083u      0.017s      0.067w      3 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.023w      3 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.017w      3 calls
DFH: initialize()                   :      0.050u      0.017s      0.044w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.013w      6 calls
| DFH: AO Construction              :      0.017u      0.000s      0.007w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.150u      0.033s      0.111w      3 calls
| SAD Guess                         :      0.150u      0.033s      0.106w      3 calls
HF: Form G                          :      2.600u      0.133s      1.588w     25 calls
| RV: Form V                        :      2.583u      0.133s      1.576w     25 calls
| | Properties                      :      0.350u      0.017s      0.287w  13850 calls
| | Functional                      :      1.633u      0.100s      0.908w  13850 calls
| | V_xc                            :      0.533u      0.017s      0.338w  13850 calls
| JK: D                             :      0.000u      0.000s      0.000w     25 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     25 calls
| JK: JK                            :      0.000u      0.000s      0.002w     25 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.002w     25 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     25 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     25 calls
| JK: AO2USO                        :      0.017u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.183u      0.017s      0.135w     22 calls
HF: Form C                          :      0.017u      0.000s      0.009w     22 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:15:58 2025
Timers Off: Mon Jul  7 10:16:03 2025

Wall Time:        5.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.217u      0.033s      0.144w      4 calls
build grid                          :      0.133u      0.000s      0.088w      4 calls
post-process grid                   :      0.083u      0.033s      0.055w      4 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.028w      4 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.032w     12 calls
DFH: initialize()                   :      0.067u      0.017s      0.049w      4 calls
DFH: AO Construction                :      0.000u      0.000s      0.009w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.217u      0.050s      0.153w      4 calls
SAD Guess                           :      0.200u      0.050s      0.147w      4 calls
HF: Form G                          :      3.383u      0.100s      2.137w     33 calls
RV: Form V                          :      3.350u      0.100s      2.124w     33 calls
Properties                          :      0.733u      0.017s      0.373w  18282 calls
Functional                          :      1.933u      0.050s      1.268w  18282 calls
V_xc                                :      0.600u      0.033s      0.428w  18282 calls
JK: D                               :      0.000u      0.000s      0.000w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     33 calls
JK: JK                              :      0.017u      0.000s      0.003w     33 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.003w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.017u      0.000s      0.002w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     33 calls
HF: Form F                          :      0.000u      0.000s      0.000w     33 calls
HF: Form D                          :      0.000u      0.000s      0.000w     33 calls
HF: DIIS                            :      0.350u      0.017s      0.161w     29 calls
HF: Form C                          :      0.000u      0.000s      0.012w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.217u      0.033s      0.144w      4 calls
| build grid                        :      0.133u      0.000s      0.088w      4 calls
| post-process grid                 :      0.083u      0.033s      0.055w      4 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.028w      4 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.020w      4 calls
DFH: initialize()                   :      0.067u      0.017s      0.049w      4 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.012w      8 calls
| DFH: AO Construction              :      0.000u      0.000s      0.009w      4 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.217u      0.050s      0.153w      4 calls
| SAD Guess                         :      0.200u      0.050s      0.147w      4 calls
HF: Form G                          :      3.383u      0.100s      2.137w     33 calls
| RV: Form V                        :      3.350u      0.100s      2.124w     33 calls
| | Properties                      :      0.733u      0.017s      0.373w  18282 calls
| | Functional                      :      1.933u      0.050s      1.268w  18282 calls
| | V_xc                            :      0.600u      0.033s      0.428w  18282 calls
| JK: D                             :      0.000u      0.000s      0.000w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     33 calls
| JK: JK                            :      0.017u      0.000s      0.003w     33 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.003w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.002w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     33 calls
HF: Form F                          :      0.000u      0.000s      0.000w     33 calls
HF: Form D                          :      0.000u      0.000s      0.000w     33 calls
HF: DIIS                            :      0.350u      0.017s      0.161w     29 calls
HF: Form C                          :      0.000u      0.000s      0.012w     29 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:37:35 2025
Timers Off: Mon Jul  7 10:37:46 2025

Wall Time:       10.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.517u      0.033s      0.338w      4 calls
build grid                          :      0.333u      0.017s      0.203w      4 calls
post-process grid                   :      0.183u      0.017s      0.133w      4 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.047w      4 calls
Libint2ERI::Libint2ERI              :      0.083u      0.033s      0.058w     12 calls
DFH: initialize()                   :      0.167u      0.017s      0.103w      4 calls
DFH: AO Construction                :      0.033u      0.000s      0.020w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.383u      0.050s      0.237w      4 calls
SAD Guess                           :      0.333u      0.050s      0.225w      4 calls
HF: Form G                          :      7.717u      0.267s      4.788w     33 calls
RV: Form V                          :      7.717u      0.267s      4.761w     33 calls
Properties                          :      1.267u      0.033s      0.785w  18282 calls
Functional                          :      4.783u      0.183s      2.892w  18282 calls
V_xc                                :      1.367u      0.050s      0.961w  18282 calls
JK: D                               :      0.000u      0.000s      0.001w     33 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     33 calls
JK: JK                              :      0.000u      0.000s      0.006w     33 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.005w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.650u      0.033s      0.387w     29 calls
HF: Form C                          :      0.017u      0.000s      0.028w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.517u      0.033s      0.338w      4 calls
| build grid                        :      0.333u      0.017s      0.203w      4 calls
| post-process grid                 :      0.183u      0.017s      0.133w      4 calls
DFH: sparsity prep                  :      0.067u      0.017s      0.047w      4 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.032w      4 calls
DFH: initialize()                   :      0.167u      0.017s      0.103w      4 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.025w      8 calls
| DFH: AO Construction              :      0.033u      0.000s      0.020w      4 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.003w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.010w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.383u      0.050s      0.237w      4 calls
| SAD Guess                         :      0.333u      0.050s      0.225w      4 calls
HF: Form G                          :      7.717u      0.267s      4.788w     33 calls
| RV: Form V                        :      7.717u      0.267s      4.761w     33 calls
| | Properties                      :      1.267u      0.033s      0.785w  18282 calls
| | Functional                      :      4.783u      0.183s      2.892w  18282 calls
| | V_xc                            :      1.367u      0.050s      0.961w  18282 calls
| JK: D                             :      0.000u      0.000s      0.001w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     33 calls
| JK: JK                            :      0.000u      0.000s      0.006w     33 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.005w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     33 calls
HF: Form F                          :      0.000u      0.000s      0.001w     33 calls
HF: Form D                          :      0.000u      0.000s      0.001w     33 calls
HF: DIIS                            :      0.650u      0.033s      0.387w     29 calls
HF: Form C                          :      0.017u      0.000s      0.028w     29 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:37:58 2025
Timers Off: Mon Jul  7 10:38:09 2025

Wall Time:       11.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.517u      0.033s      0.335w      4 calls
build grid                          :      0.350u      0.017s      0.211w      4 calls
post-process grid                   :      0.167u      0.017s      0.123w      4 calls
DFH: sparsity prep                  :      0.067u      0.067s      0.072w      4 calls
Libint2ERI::Libint2ERI              :      0.133u      0.117s      0.099w     12 calls
